name,function,country,discipline
SASSA Norio,Coach,Japan,Basketball
GAINES Corey,Assistant Coach,Japan,Basketball
HOVASSE Tom,Coach,Japan,Basketball
KATSUHISA Geoffrey,Assistant Coach,Japan,Basketball
CHOI Chatchai,Coach,Thailand,Taekwondo
SONKHAM Chanatip,Coach,Thailand,Taekwondo
RUSEK Pawel,Assistant Coach,Poland,Volleyball
GRBIC Nikola,Head Coach,Poland,Volleyball
SWACZYNA Adam,Assistant Coach,Poland,Volleyball
MATOSEVIC Valter,Assistant Coach,Croatia,Handball
SIGURDSSON Dagur,Head Coach,Croatia,Handball
SPOLJARIC Denis,Assistant Coach,Croatia,Handball
DUPUIS Kevin,Coach,France,Artistic Gymnastics
GEORGE Martine,Coach,France,Artistic Gymnastics
POTAPENKO Valentin,Coach,France,Artistic Gymnastics
HAGARD Monique,Coach,France,Artistic Gymnastics
BARANOVA VOLCHETSKAYA Anna,Coach,France,Rhythmic Gymnastics
BAYON Sara,Coach,France,Rhythmic Gymnastics
GUILLIERE Katia,Coach,France,Rhythmic Gymnastics
MILAN Gregory,Coach,France,Rhythmic Gymnastics
ABDELFATTAH Aziza,Coach,Egypt,Artistic Swimming
MOHAMED Mai,Coach,Egypt,Artistic Swimming
LATIF Yasmine,Coach,Egypt,Artistic Swimming
FABRE Julie,Coach,France,Artistic Swimming
OBRY Laure,Coach,France,Artistic Swimming
ANNEQUIN Marie,Coach,France,Artistic Swimming
ANGILLIS Pascal,Assistant Coach,Belgium,Basketball
KAISER Pierre-Yves,Coach,Belgium,Basketball
LORENT Jill,Assistant Coach,Belgium,Basketball
de SCHEPPER Bram,Coach,Belgium,Artistic Gymnastics
DECKX Stefan,Coach,Belgium,Artistic Gymnastics
RECKINGER Xavier,Assistant Coach,Belgium,Hockey
JEONG Eul Jin,Coach,Korea,Taekwondo
KANG Bo Hyeon,Coach,Korea,Taekwondo
LEE Dongchul,Coach,Korea,Taekwondo
OH Hyeri,Coach,Korea,Taekwondo
SON Hyo Bong,Coach,Korea,Taekwondo
BEAGLEY Michael,Coach,Great Britain,Artistic Gymnastics
CLAY Jenny,Coach,Great Britain,Artistic Gymnastics
COLLIE Barry,Coach,Great Britain,Artistic Gymnastics
HALL Paul,Coach,Great Britain,Artistic Gymnastics
HANN Scott,Coach,Great Britain,Artistic Gymnastics
HOWELLS Ben,Coach,Great Britain,Artistic Gymnastics
INCE Brett,Coach,Great Britain,Artistic Gymnastics
KENWRIGHT David,Coach,Great Britain,Artistic Gymnastics
RICHARDSON Joshua,Coach,Great Britain,Artistic Gymnastics
RICHARDSON Molly,Coach,Great Britain,Artistic Gymnastics
TRANDABURU Ionut,Coach,Great Britain,Artistic Gymnastics
JANKOVSKY Viktor,Coach,Czechia,Taekwondo
ZHEREBCHEVSKYI Anton,Coach,Czechia,Taekwondo
HYBRANT Bohuslav,Coach,Czechia,Taekwondo
FOULARD Gael,Head Coach,France,Hockey
