name,country,discipline
Terry KENNEDY,Ireland,['Rugby Sevens']
Grainne WALSH,Ireland,['Boxing']
Jake PASSMORE,Ireland,['Diving']
Sarah HEALY,Ireland,['Athletics']
Luke McCANN,Ireland,['Athletics']
Fionnuala McCORMACK,Ireland,['Athletics']
Victoria CATTERSON,Ireland,['Swimming']
Conor FERGUSON,Ireland,['Swimming']
Daniel WIFFEN,Ireland,"['Marathon Swimming', 'Swimming']"
Megan ARMITAGE,Ireland,['Cycling Road']
Lara GILLESPIE,Ireland,['Cycling Track']
Kelly MURPHY,Ireland,['Cycling Track']
Mia GRIFFIN,Ireland,['Cycling Track']
Erin CREIGHTON,Ireland,['Cycling Track']
Alice SHARPE,Ireland,['Cycling Track']
Ben HEALY,Ireland,['Cycling Road']
Leona MAGUIRE,Ireland,['Golf']
Rhys MC CLENAGHAN,Ireland,['Artistic Gymnastics']
Fiona MURTAGH,Ireland,['Rowing']
Imogen MAGNER,Ireland,['Rowing']
Natalie LONG,Ireland,['Rowing']
Aoife CASEY,Ireland,['Rowing']
Aifric KEOGH,Ireland,['Rowing']
Alejandro TOSTI,Argentina,['Golf']
Juan BAR,Argentina,['Handball']
Nicolas BONANNO,Argentina,['Handball']
Federico FERNANDEZ,Argentina,['Handball']
Guillermo FISCHER,Argentina,['Handball']
Leonel MACIEL,Argentina,['Handball']
Adriana PENRUDDOCKE,Bermuda,['Sailing']
Pedro MARTINEZ CAMI,Argentina,['Handball']
Charlotte WEBSTER,Cayman Islands,['Sailing']
Lucas MOSCARIELLO,Argentina,['Handball']
Andres MOYANO,Argentina,['Handball']
Gaston MOURINO,Argentina,['Handball']
James PARKER,Argentina,['Handball']
Federico PIZARRO,Argentina,['Handball']
Jillian Janis Geohagan CROOKS,Cayman Islands,['Swimming']
Emma HARVEY,Bermuda,['Swimming']
Erica HAWLEY,Bermuda,['Triathlon']
Tyler SMITH,Bermuda,['Triathlon']
Alin ALEXUC CIURARIU,Romania,['Wrestling']
Razvan ARNAUT,Romania,['Wrestling']
Andreea Beatrice ANA,Romania,['Wrestling']
Catalina AXENTE,Romania,['Wrestling']
Kriszta Tunde INCZE,Romania,['Wrestling']
Akhmed TAZHUDINOV,Bahrain,['Wrestling']
Kaimauri ERATI,Kiribati,['Weightlifting']
Gor MINASYAN,Bahrain,['Weightlifting']
Lesman MONTANO,Bahrain,['Weightlifting']
Jugurtha AIT BEKKA,Algeria,['Boxing']
Mourad KADI,Algeria,['Boxing']
Roumaysa BOUALAM,Algeria,['Boxing']
Imane KHELIF,Algeria,['Boxing']
Dounia KHELIF,Algeria,['Boxing']
Ignacio PIZARRO,Argentina,['Handball']
Pablo SIMONET,Argentina,['Handball']
Diego SIMONET,Argentina,['Handball']
Nicolas BONO,Argentina,['Handball']
Marcos MONETA,Argentina,['Rugby Sevens']
Santiago VERA FELD,Argentina,['Rugby Sevens']
Matias OSADCZUK,Argentina,['Rugby Sevens']
Santiago ALVAREZ,Argentina,['Rugby Sevens']
German SCHULZ,Argentina,['Rugby Sevens']
Joaquin PELLANDINI,Argentina,['Rugby Sevens']
Gaston REVOL,Argentina,['Rugby Sevens']
Soren OPTI,Suriname,['Badminton']
Tomas ELIZALDE,Argentina,['Rugby Sevens']
Tobias WADE,Argentina,['Rugby Sevens']
Matteo GRAZIANO,Argentina,['Rugby Sevens']
Luciano GONZALEZ,Argentina,['Rugby Sevens']
Agustin FRAGA,Argentina,['Rugby Sevens']
Rodrigo ISGRO,Argentina,['Rugby Sevens']
Matias DELL OLIO,Argentina,['Skateboarding']
Manuela GOMEZ SANCHEZ,Colombia,['Canoe Sprint']
Mikel SCHREUDERS,Aruba,['Swimming']
Ethan WESTERA,Aruba,['Sailing']
Just van AANHOLT,Aruba,['Sailing']
Philip ELHAGE,Aruba,['Shooting']
Shanayah HOWELL,Aruba,['Cycling BMX Racing']
Yeni Marcela ARIAS CASTANEDA,Colombia,['Boxing']
Ingrit Lorena VALENCIA VICTORIA,Colombia,['Boxing']
Yilmar Leandro GONZALEZ LANDAZURY,Colombia,['Boxing']
John Edison RODRIGUEZ,Colombia,['Fencing']
Goretti Alejandra ZUMAYA FLORES,Mexico,['Shooting']
Jessika GBAI,Côte d'Ivoire,['Athletics']
Ekaterina BORDACHYOVA,Tajikistan,['Swimming']
Annaliese DRAGAN,Romania,['Rhythmic Gymnastics']
Herminia TEIXEIRA SANTANA,Sao Tome & Principe,['Canoe Sprint']
Marko GOLUBIC,Croatia,['Taekwondo']
Alejandra ALONSO ALDERETE,Paraguay,['Rowing']
Romina BIAGIOLI,Argentina,['Triathlon']
Lisa BARBELIN,France,['Archery']
Amelie CORDEAU,France,['Archery']
Caroline LOPEZ,France,['Archery']
Baptiste ADDIS,France,['Archery']
Thomas CHIRAULT,France,['Archery']
Jean-Charles VALLADONT,France,['Archery']
Santiago LORENZO,Argentina,['Table Tennis']
Dara ALIZADEH,Bermuda,['Rowing']
Janeth GOMEZ VALDIVIA,Mexico,['Weightlifting']
Daniela FONSECA CARRAZANA,Cuba,['Table Tennis']
Jorge CAMPOS,Cuba,['Table Tennis']
Andy PEREIRA,Cuba,['Table Tennis']
Arlenis SIERRA,Cuba,['Cycling Road']
Farzad BAHER ARASBARAN,IR Iran,['Fencing']
Ali PAKDAMAN,IR Iran,['Fencing']
Mohammad FOTOUHI,IR Iran,['Fencing']
Mohammad RAHBARI,IR Iran,['Fencing']
Anisley GARCIA NAVARRO,Cuba,['Diving']
Prisis RUIZ,Cuba,['Diving']
Andrea BECALI,Cuba,['Swimming']
Rodolfo FALCON JR,Cuba,['Swimming']
Roldeney de OLIVEIRA,Sao Tome & Principe,['Judo']
Gorete SEMEDO,Sao Tome & Principe,['Athletics']
Adina DIACONU,Romania,['Table Tennis']
Eduard IONESCU,Romania,['Table Tennis']
Ovidiu IONESCU,Romania,['Table Tennis']
Elizabeta SAMARA,Romania,['Table Tennis']
Bernadette SZOCS,Romania,['Table Tennis']
Mohammad ALDAIHANI,Kuwait,['Shooting']
Amita BERTHIER,Singapore,['Fencing']
Kiria Tikanah ABDUL RAHMAN,Singapore,['Fencing']
Catalin CHIRILA,Romania,['Canoe Sprint']
Oleg NUTA,Romania,['Canoe Sprint']
Ilie SPRINCEAN,Romania,['Canoe Sprint']
Lenuta Lacramioara PERIJOC,Romania,['Boxing']
Jolanio GUTERRES,Timor-Leste,['Swimming']
Imelda XIMENES BELO,Timor-Leste,['Swimming']
Manuel ATAIDE,Timor-Leste,['Athletics']
YAMAGUCHI Akane,Japan,['Badminton']
WATANABE Yuta,Japan,['Badminton']
NAGAHARA Wakana,Japan,['Badminton']
MATSUMOTO Mayu,Japan,['Badminton']
HIGASHINO Arisa,Japan,['Badminton']
NISHIMOTO Kenta,Japan,['Badminton']
HOKI Takuro,Japan,['Badminton']
KOBAYASHI Yugo,Japan,['Badminton']
SHIDA Chiharu,Japan,['Badminton']
MATSUYAMA Nami,Japan,['Badminton']
OHORI Aya,Japan,['Badminton']
Ana da COSTA da SILVA PINTO,Timor-Leste,['Taekwondo']
Levenia SIM,Singapore,['Swimming']
Ede-Karoly MOLNAR,Romania,['Cycling Mountain Bike']
Jing Wen QUAH,Singapore,['Swimming']
Davit CHALOYAN,Armenia,['Boxing']
Fakhriddin MADKAMOV,Tajikistan,['Swimming']
Oumaima EL BOUCHTI,Morocco,['Taekwondo']
Fatima-Ezzahra ABOUFARAS,Morocco,['Taekwondo']
Felix DUCHAMPT,Romania,['Triathlon']
Alex CRET,Romania,['Judo']
Yusuf Marwan Abdullah NASSER,Yemen,['Swimming']
Yasameen AL RAIMI,Yemen,['Shooting']
Malina CALUGAREANU,Romania,['Fencing']
Rohan BOPANNA,India,['Tennis']
Nsriram BALAJI,India,['Tennis']
Soumiya IRAOUI,Morocco,['Judo']
Achraf MOUTII,Morocco,['Judo']
Sumit NAGAL,India,['Tennis']
Timo BOLL,Germany,['Table Tennis']
Dimitrij OVTCHAROV,Germany,['Table Tennis']
Xiaona SHAN,Germany,['Table Tennis']
Dang QIU,Germany,['Table Tennis']
Nina MITTELHAM,Germany,['Table Tennis']
Yuan WAN,Germany,['Table Tennis']
Annett KAUFMANN,Germany,['Table Tennis']
Komronshokh USTOPIRIYON,Tajikistan,['Judo']
Roshawn CLARKE,Jamaica,['Athletics']
Aya ASAQAS,Morocco,['Skateboarding']
Natalia ESCALERA,Mexico,['Artistic Gymnastics']
BILLY,Morocco,['Breaking']
ELMAMOUNY,Morocco,['Breaking']
Maycey Adrianne VIETA,Puerto Rico,['Diving']
Priscilla TOMMY,Vanuatu,['Table Tennis']
Ajah PRITCHARD-LOLO,Vanuatu,['Weightlifting']
Hugo CUMBO,Vanuatu,['Judo']
Johnathan SILAS,Vanuatu,['Swimming']
Loane RUSSET,Vanuatu,['Swimming']
Mariana ARCEO,Mexico,['Modern Pentathlon']
Lam DORJI,Bhutan,['Archery']
Sreejesh PARATTU RAVEENDRAN,India,['Hockey']
